header,statement,answers
"  
O Sol representa uma fonte limpa e inesgotável de energia  para  o  nosso  planeta.  Essa  energia  pode  ser captada  por  aquecedores  solares,  armazenada  e convertida  posteriormente  em  trabalho  útil.  Considere 
determinada  região  cuja insolação  —  potência  solar incidente  na  superfície  da  Terra  —  seja  de  800  watts/m². Uma  usina  termossolar  utiliza  concentradores  solares parabólicos  que  chegam  a  dezenas  de  quilômetros  de extensão.  Nesses  coletores  solares  parabólicos,  a  luz refletida pela superfície parabólica espelhada é focalizada em um receptor em forma de cano e aquece o óleo contido em seu interior a 400 °C. O calor desse óleo é transferido para a água, vaporizando-a em uma caldeira. O vapor em 
alta  pressão  movimenta  uma  turbina  acoplada  a  um gerador de energia elétrica. 
","
Considerando  que  a  distância  entre  a  borda  inferior  e  a borda superior da superfície refletora tenha 6 m de largura e  que  focaliza  no  receptor  os  800  watts/m²  de  radiação provenientes  do  Sol,  e  que  o  calor  específico  da  água  é  <math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>1</mn><msup><mtext>g</mtext><mrow><mo>-</mo><mn>1</mn></mrow></msup><msup><mtext>&#xB0;C</mtext><mrow><mo>-</mo><mn>1</mn></mrow></msup><mo>=</mo><mn>4200</mn><msup><mtext>Jkg</mtext><mrow><mo>-</mo><mn>1</mn></mrow></msup><msup><mtext>&#xB0;C</mtext><mrow><mo>-</mo><mn>1</mn></mrow></msup></math>, então o comprimento linear do refletor parabólico necessário para elevar a temperatura 
de 1 m³ (equivalente a 1 t) de água de 20 °C para 100 °C, em uma hora, estará entre 
",
" 
O  uso  de  protetores  solares  em  situações  de  grande  exposição  aos  raios  solares  como,  por  exemplo, nas  praias,  é  de  grande  importância  para  a  saúde.  As moléculas ativas de um protetor apresentam, usualmente, 
anéis  aromáticos  conjugados  com  grupos  carbonila,  pois esses  sistemas  são  capazes  de  absorver  a  radiação ultravioleta mais nociva aos seres humanos. A conjugação é definida como a ocorrência de alternância entre ligações simples e duplas em uma molécula. Outra propriedade das 
moléculas  em  questão  é  apresentar,  em  uma  de  suas extremidades, uma parte apolar responsável por reduzir a solubilidade  do  composto  em  água,  o  que  impede  sua rápida remoção quando do contato com a água.   
","
De  acordo  com  as  considerações  do  texto,  qual  das moléculas apresentadas a seguir é a mais adequada para funcionar como molécula ativa de protetores solares? 
",
"  
Sabe-se que o olho humano não consegue diferenciar componentes  de  cores  e  vê  apenas  a  cor  resultante, diferentemente  do  ouvido,  que  consegue  distinguir,  por exemplo, dois instrumentos diferentes tocados simultaneamente. Os raios luminosos do espectro visível, que têm comprimento de onda entre 380 nm e 780 nm, incidem na córnea, passam pelo cristalino e são projetados na retina. Na retina, encontram-se dois tipos de fotorreceptores, os cones e 
os  bastonetes,  que  convertem  a  cor  e  a  intensidade  da  luz recebida em impulsos nervosos. Os cones distinguem as cores primárias: vermelho, verde e azul, e os bastonetes diferenciam apenas  níveis  de  intensidade,  sem  separar  comprimentos  de onda.  Os  impulsos  nervosos  produzidos  são  enviados  ao cérebro por meio do nervo óptico, para que se dê a percepção 
da imagem. 
"," 
Um  indivíduo  que,  por  alguma  deficiência,  não  consegue captar as informações transmitidas pelos cones, perceberá um  objeto  branco,  iluminado  apenas  por  luz  vermelha, como 
",
"
Durante  uma  ação  de  fiscalização  em  postos  de combustíveis, foi encontrado um mecanismo inusitado para enganar  o  consumidor.  Durante  o  inverno,  o  responsável por  um  posto  de  combustível  compra  álcool  por R$ 0,50 por litro, a uma temperatura de 5 °C. Para revender o líquido aos motoristas, instalou um mecanismo na bomba de  combustível  para  aquecê-lo,  para  que  atinja  a temperatura de 35 °C, sendo o litro de álcool revendido a 
R$ 1,60. Diariamente o posto compra 20 mil litros de álcool a 5 ºC e os revende.  
"," 
Com relação à situação hipotética descrita no texto e dado que  o  coeficiente  de  dilatação  volumétrica  do  álcool  é  de 1×10-3  ºC-1,  desprezando-se  o  custo  da  energia  gasta  no aquecimento  do  combustível,  o  ganho  financeiro  que  o dono  do  posto  teria  obtido  devido  ao  aquecimento  do 
álcool após uma semana de vendas estaria entre 
",
"  
A invenção da  geladeira proporcionou uma revolução no aproveitamento  dos  alimentos,  ao permitir  que  fossem  armazenados  e transportados  por  longos  períodos.  A figura  apresentada  ilustra  o  processo cíclico  de 
funcionamento  de  uma geladeira, em que um gás no interior de uma tubulação é forçado a circular entre o  congelador  e  a  parte  externa  da geladeira. É por meio dos processos de compressão,  que  ocorre  na  parte externa, e de expansão, que ocorre na parte interna, que o gás proporciona a troca de calor entre o interior e o exterior da geladeira. 

Disponível em: http://home.howstuffworks.com. Acesso em: 19 out. 2008 (adaptado). 
","
Nos processos de transformação de energia envolvidos no 
funcionamento da geladeira, 
",
" 
Na  manipulação  em  escala  nanométrica,  os átomos revelam  características  peculiares,  podendo apresentar  tolerância  à  temperatura,  reatividade  química, condutividade  elétrica,  ou  mesmo  exibir força  de 
intensidade  extraordinária.  Essas  características  explicam o interesse industrial pelos nanomateriais que estão sendo muito  pesquisados  em  diversas  áreas,  desde  o desenvolvimento de cosméticos, tintas e tecidos, até o de 
terapias contra o câncer. 

LACAVA, Z. G. M; MORAIS, P. C. Nanobiotecnologia e Saúde. Disponível em: 
http://www.comciencia.br (adaptado). 
","
A  utilização  de  nanopartículas  na  indústria  e  na  medicina requer estudos mais detalhados, pois 
",
" 
Uma  vítima  de  acidente  de  carro  foi  encontrada carbonizada devido a uma explosão. Indícios, como certos adereços  de  metal  usados  pela  vítima,  sugerem  que  a mesma  seja  filha  de  um  determinado  casal.  Uma  equipe 
policial  de  perícia  teve  acesso  ao  material  biológico carbonizado  da  vítima, reduzido,  praticamente,  a fragmentos  de  ossos.  Sabe-se  que  é  possível  obter  DNA em  condições  para  análise  genética  de  parte  do  tecido interno  de  ossos.  Os  peritos  necessitam  escolher,  entre 
cromossomos  autossômicos,  cromossomos  sexuais  (X  e Y)  ou  DNAmt  (DNA  mitocondrial),  a  melhor  opção  para identificação do parentesco da vítima com o referido casal. Sabe-se  que,  entre  outros  aspectos,  o  número  de  cópias de um mesmo cromossomo por célula maximiza a chance de  se  obter  moléculas  não  degradadas  pelo  calor  da explosão. 
"," 
Com  base  nessas  informações  e  tendo  em  vista  os diferentes  padrões  de  herança  de  cada  fonte  de  DNA citada, a melhor opção para a perícia seria a utilização 
",
"  
O  cultivo  de  camarões  de  água  salgada  vem  se desenvolvendo muito nos últimos anos na região Nordeste do Brasil  e,  em  algumas  localidades,  passou  a  ser  a  principal atividade  econômica.  Uma  das  grandes  preocupações  dos impactos  negativos  dessa  atividade  está relacionada  à descarga,  sem  nenhum  tipo  de  tratamento,  dos  efluentes  dos viveiros diretamente no ambiente marinho, em estuários ou em manguezais.  Esses  efluentes  possuem  matéria  orgânica particulada  e  dissolvida,  amônia,  nitrito,  nitrato, fosfatos, partículas de sólidos em suspensão e outras substâncias que podem ser consideradas contaminantes potenciais. 

CASTRO, C. B.; ARAGÃO, J. S.; COSTA-LOTUFO, L. V. Monitoramento da toxicidade de efluentes de uma fazenda de cultivo de camarão marinho. Anais do IX Congresso Brasileiro de Ecotoxicologia, 2006 (adaptado). 
","
Suponha  que tenha  sido  construída  uma fazenda  de carcinicultura próximo a um manguezal. Entre as perturbações ambientais causadas pela fazenda, espera-se que  
",
"Nas  últimas  décadas,  o  efeito  estufa tem-se intensificado de maneira preocupante, sendo esse efeito muitas vezes  atribuído  à  intensa  liberação  de  <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>CO</mtext><mn>2</mn></msub></math>  durante  a  queima de  combustíveis  fósseis  para  geração  de  energia.  O  quadro traz  as  entalpias-padrão  de  combustão  a  25  ºC  (<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mtext>&#x394;H</mtext><mn>25</mn><mn>0</mn></msubsup></math>) do metano, do butano e do octano. 
","
 À  medida  que  aumenta  a  consciência  sobre  os  impactos ambientais 
relacionados  ao  uso  da  energia,  cresce  a importância  de  se  criar  políticas  de  incentivo  ao  uso  de combustíveis  mais  eficientes.  Nesse  sentido,  considerando-se que  o  metano,  o  butano  e  o  octano  sejam  representativos  do gás natural, do gás liquefeito de petróleo (GLP) e da gasolina, respectivamente,  então,  a  partir  dos  dados  fornecidos,  é 
possível concluir que, do ponto de vista da quantidade de calor obtido por mol de <math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mtext>CO</mtext><mn>2</mn></msub></math> gerado, a ordem crescente desses três combustíveis é 
",
"
O álcool hidratado utilizado como combustível veicular é obtido por meio da destilação fracionada de soluções aquosas geradas a partir da fermentação de 
biomassa.  Durante  a  destilação,  o  teor  de  etanol  da mistura é aumentado, até o limite de 96% em massa. 
"," 
Considere que, em uma usina de produção de etanol, 800 kg de uma mistura etanol/água com concentração 20%  em  massa  de  etanol  foram  destilados,  sendo obtidos 100 kg de álcool hidratado 96% em massa de etanol. A partir desses dados, é correto concluir que a destilação  em  questão  gerou  um  resíduo  com  uma concentração de etanol em massa 
",
"
Considere  a  seguinte  situação  hipotética:  ao preparar o palco para a apresentação de uma peça de teatro,  o  iluminador  deveria  colocar  três  atores  sob luzes  que  tinham  igual  brilho  e  os  demais,  sob  luzes 
de menor brilho. O iluminador determinou, então, aos técnicos,  que  instalassem  no  palco  oito  lâmpadas incandescentes com a mesma especificação (L1 a L8), interligadas em um circuito com uma bateria, conforme mostra a figura. 
"," 
Nessa  situação,  quais  são  as  três  lâmpadas  que acendem com o mesmo brilho por apresentarem igual valor de corrente fluindo nelas, sob as quais devem se posicionar os três atores? 
",
"O  Egito  é  visitado  anualmente  por  milhões  de 
turistas de todos os quadrantes do planeta, desejosos de 
ver  com  os  próprios  olhos  a  grandiosidade  do  poder 
esculpida em pedra há milênios: as pirâmides de Gizeh, as 
tumbas  do  Vale  dos  Reis  e  os  numerosos  templos 
construídos ao longo do Nilo.  
"," 
O  que  hoje  se  transformou  em  atração  turística  era,  no 
passado, interpretado de forma muito diferente, pois 
",
" 
O  que  se  entende  por  Corte  do  antigo  regime  é, 
em primeiro lugar, a casa de habitação dos reis de França, 
de suas famílias, de todas as pessoas que, de perto ou de 
longe, dela fazem parte. As despesas da Corte, da imensa 
casa dos reis, são consignadas no registro das despesas 
do  reino  da  França  sob  a  rubrica  significativa  de  Casas 
Reais. 

ELIAS, N. A sociedade de corte. Lisboa: Estampa, 1987. 
","
Algumas  casas  de  habitação  dos  reis  tiveram  grande 
efetividade  política  e  terminaram  por  se  transformar  em 
patrimônio artístico e cultural, cujo exemplo é  
",
" 
Hoje  em  dia,  nas  grandes  cidades,  enterrar  os 
mortos  é  uma  prática  quase  íntima,  que  diz  respeito 
apenas  à  família.  A  menos,  é  claro,  que  se  trate  de  uma 
personalidade conhecida. Entretanto, isso nem sempre foi 
assim.  Para  um  historiador,  os  sepultamentos  são  uma 
fonte  de informações importantes  para  que  se 
compreenda, por exemplo, a vida política das sociedades.  
 
","
No  que  se  refere  às  práticas  sociais ligadas  aos 
sepultamentos, 
",
"
A  Idade  Média  é  um  extenso  período  da  História 
do  Ocidente  cuja  memória  é  construída  e  reconstruída 
segundo as circunstâncias das épocas posteriores. Assim, 
desde  o  Renascimento,  esse  período  vem  sendo  alvo  de 
diversas  interpretações  que  dizem  mais  sobre  o  contexto 
histórico  em  que  são  produzidas  do  que  propriamente 
sobre o Medievo.  
"," 
Um exemplo acerca do que está exposto no texto acima é  
",
" 
A  primeira  metade  do  século  XX  foi  marcada  por 
conflitos  e  processos  que  a  inscreveram  como  um  dos 
mais violentos períodos da história humana.  
"," 
Entre  os  principais  fatores  que  estiveram  na  origem  dos 
conflitos ocorridos durante a primeira metade do século XX 
estão 
",
" 
Os  regimes  totalitários  da  primeira  metade  do 
século  XX  apoiaram-se  fortemente  na  mobilização  da 
juventude em torno da defesa de ideias grandiosas para o 
futuro  da  nação.  Nesses  projetos,  os  jovens  deveriam 
entender que só havia uma pessoa digna de ser amada e 
obedecida,  que  era  o  líder.  Tais  movimentos  sociais 
juvenis  contribuíram  para  a  implantação  e  a  sustentação 
do  nazismo,  na  Alemanha,  e  do  fascismo,  na  Itália, 
Espanha e Portugal. 
"," 
A atuação desses movimentos juvenis caracterizava-se 
",
" 
Do ponto de vista geopolítico, a Guerra Fria dividiu 
a  Europa  em  dois  blocos.  Essa  divisão  propiciou  a 
formação de alianças antagônicas de caráter militar, como 
a OTAN, que aglutinava os países do bloco ocidental, e o 
Pacto de Varsóvia, que concentrava os do bloco oriental. É 
importante  destacar  que,  na  formação  da  OTAN,  estão 
presentes, além dos países do oeste europeu, os EUA e o 
Canadá.  Essa  divisão  histórica  atingiu  igualmente  os 
âmbitos  político  e  econômico  que  se  refletia  pela  opção 
entre os modelos capitalista e socialista. 
"," 
Essa divisão europeia ficou conhecida como 
",
" 
O ano de 1968 ficou conhecido pela efervescência 
social,  tal  como  se  pode  comprovar  pelo  seguinte  trecho, 
retirado  de  texto  sobre  propostas  preliminares  para  uma 
revolução cultural: “É preciso discutir em todos os lugares 
e  com  todos.  O  dever  de  ser  responsável  e  pensar 
politicamente diz respeito a todos, não é privilégio de uma 
minoria de iniciados. Não devemos nos surpreender com o 
caos das ideias, pois essa é a condição para a emergência 
de  novas  ideias.  Os  pais  do  regime  devem  compreender 
que autonomia não é uma palavra vã; ela supõe a partilha 
do  poder,  ou  seja,  a  mudança  de  sua  natureza.  Que 
ninguém  tente  rotular  o  movimento  atual;  ele  não  tem 
etiquetas e não precisa delas”. 

Journal de la comune étudiante. Textes et 
documents.  Paris: Seuil, 1969 (adaptado). 
","
Os movimentos sociais, que marcaram o ano de 1968,  
",
"
Os Yanomami constituem uma sociedade indígena 
do  norte  da  Amazônia  e  formam  um  amplo  conjunto 
linguístico  e  cultural.  Para  os  Yanomami,  urihi,  a  “terra-
floresta”,  não  é  um  mero  cenário inerte,  objeto  de exploração econômica, e sim uma entidade viva, animada por uma dinâmica de trocas entre os diversos seres que a povoam.  A  floresta  possui  um  sopro  vital,  wixia,  que  é muito longo. Se não a desmatarmos, ela não morrerá. Ela não se decompõe, isto é, não se desfaz. É graças ao seu 
sopro úmido que as plantas crescem. A floresta não está 
morta pois, se fosse assim, as florestas não teriam folhas. 
Tampouco  se  veria  água.  Segundo  os  Yanomami,  se  os 
brancos os fizerem desaparecer para desmatá-la e morar 
no  seu  lugar,  ficarão  pobres  e  acabarão  tendo  fome  e 
sede. 

ALBERT, B. Yanomami, o espírito da floresta. Almanaque Brasil  
Socioambiental. São Paulo: ISA, 2007 (adaptado). 
","
De acordo com o texto, os Yanomami acreditam que 
",
"O  fim  da  Guerra  Fria  e  da  bipolaridade,  entre  as 
décadas de 1980 e 1990, gerou expectativas de que seria 
instaurada uma ordem internacional marcada pela redução 
de conflitos e pela multipolaridade.  
"," 
O  panorama  estratégico  do  mundo  pós-Guerra  Fria apresenta 
",
" 
Na democracia estado-unidense, os cidadãos são incluídos  na  sociedade  pelo  exercício  pleno  dos  direitos políticos  e também  pela ideia  geral  de  direito  de propriedade. Compete ao governo garantir que esse direito não  seja  violado.  Como  consequência,  mesmo  aqueles que  possuem  uma  pequena  propriedade  sentem-se cidadãos de pleno direito. 
"," 
Na  tradição  política  dos  EUA,  uma  forma  de  incluir socialmente os cidadãos é 
",
"Na  década  de  30  do  século  XIX,  Tocqueville 
escreveu as seguintes linhas a respeito da moralidade nos 
EUA: “A opinião pública norte-americana é particularmente 
dura  com  a  falta  de  moral,  pois  esta  desvia  a  atenção 
frente  à  busca  do  bem-estar  e  prejudica  a  harmonia 
doméstica, que é tão essencial ao sucesso dos negócios. 
Nesse sentido, pode-se dizer que ser casto é uma questão 
de honra”. 

TOCQUEVILLE, A. Democracy in America. Chicago: Encyclopædia 
Britannica, Inc., Great Books 44, 1990 (adaptado). 
","
Do  trecho,  infere-se  que,  para  Tocqueville,  os  norte-
americanos do seu tempo 
",
" 
Segundo  Aristóteles,  “na  cidade  com  o  melhor conjunto  de  normas  e  naquela  dotada  de  homens absolutamente  justos,  os  cidadãos  não  devem  viver  uma vida  de  trabalho  trivial  ou  de  negócios  —  esses  tipos  de vida  são  desprezíveis  e  incompatíveis  com  as  qualidades 
morais —, tampouco devem ser agricultores os aspirantes à cidadania,  pois  o lazer  é indispensável  ao desenvolvimento  das  qualidades  morais  e  à  prática  das atividades políticas”. 

VAN ACKER, T. Grécia. A vida cotidiana na cidade-Estado.  
São Paulo: Atual, 1994. 
","
O trecho, retirado da obra Política, de Aristóteles, permite 
compreender que a cidadania 
",
"Para  Caio  Prado  Jr.,  a  formação  brasileira  se completaria no momento em que fosse superada a nossa herança  de inorganicidade  social  ―  o  oposto  da interligação  com  objetivos  internos  ―  trazida  da  colônia. Este  momento  alto  estaria,  ou  esteve,  no  futuro.  Se 
passarmos  a  Sérgio  Buarque  de  Holanda,  encontraremos algo  análogo.  O  país  será  moderno  e  estará  formado quando  superar  a  sua  herança  portuguesa,  rural  e autoritária,  quando  então  teríamos  um  país  democrático. Também  aqui  o  ponto  de  chegada  está  mais  adiante,  na dependência das decisões do presente. Celso Furtado, por 
seu turno, dirá que a nação não se completa enquanto as alavancas do comando, principalmente do econômico, não passarem para dentro do país. Como para os outros dois, a conclusão do processo encontra-se no futuro, que agora parece remoto. 

SCHWARZ, R. Os sete fôlegos de um livro. Sequências brasileiras.  
São Paulo: Cia. das Letras,1999 (adaptado). 
","
Acerca  das  expectativas  quanto  à  formação  do  Brasil,  a 
sentença que sintetiza os pontos de vista apresentados no 
texto é: 
",
" 
A  definição  de  eleitor  foi  tema  de  artigos  nas 
Constituições  brasileiras  de  1891  e  de  1934.  Diz  a 
Constituição da República dos Estados Unidos do Brasil de 
1891: 

Art. 70. São eleitores os cidadãos maiores de 21 
anos que se alistarem na forma da lei. 

A  Constituição  da  República  dos  Estados  Unidos  
do Brasil de 1934, por sua vez, estabelece que:

Art.  180.  São  eleitores  os  brasileiros  de  um  e  de 
outro sexo, maiores de 18 anos, que se alistarem 
na forma da lei.  
","
Ao se comparar os dois artigos, no que diz respeito ao 
gênero dos eleitores, depreende-se que  
",
" 
O  autor  da  constituição  de  1937,  Francisco Campos,  afirma  no  seu  livro,  O  Estado  Nacional,  que  o eleitor seria apático; a democracia de partidos conduziria à desordem;  a  independência  do  Poder  Judiciário  acabaria em injustiça  e ineficiência;  e  que  apenas  o  Poder Executivo, centralizado em Getúlio Vargas, seria capaz de dar  racionalidade  imparcial  ao  Estado,  pois  Vargas  teria providencial intuição do bem e da verdade, além de ser um gênio político. 

CAMPOS, F. O Estado nacional. Rio de Janeiro:  
José Olympio, 1940 (adaptado). 
","
Segundo as ideias de Francisco Campos, 
",
"
A  partir  de  1942  e  estendendo-se  até  o  final  do Estado Novo, o Ministro do Trabalho, Indústria e Comércio de  Getúlio  Vargas  falou  aos  ouvintes  da  Rádio  Nacional semanalmente,  por  dez  minutos,  no  programa  “Hora  do Brasil”. O objetivo declarado do governo era esclarecer os trabalhadores  acerca  das  inovações  na  legislação  de 
proteção ao trabalho. 

GOMES, A. C. A invenção do trabalhismo. Rio de Janeiro:  
IUPERJ / Vértice. São Paulo: Revista dos Tribunais, 1988 (adaptado). 
","
Os programas “Hora do Brasil” contribuíram para 
",
"No  final  do  século  XVI,  na  Bahia,  Guiomar  de Oliveira denunciou Antônia Nóbrega à Inquisição. Segundo o depoimento, esta lhe dava “uns pós não sabe de quê, e outros pós de osso de finado, os quais pós ela confessante deu  a  beber  em  vinho  ao  dito  seu  marido  para  ser  seu amigo e serem bem-casados, e que todas estas coisas fez tendo-lhe dito a dita Antônia e ensinado que eram coisas diabólicas e que os diabos lha ensinaram”. 

ARAÚJO, E. O teatro dos vícios. Transgressão e transigência na  
sociedade urbana colonial. Brasília: UnB/José Olympio, 1997. 
","
Do ponto de vista da Inquisição, 
",
"
A formação dos Estados foi certamente distinta na 
Europa,  na  América  Latina,  na  África  e  na  Ásia.  Os 
Estados atuais, em especial na América Latina — onde as 
instituições  das  populações  locais  existentes  à  época  da 
conquista ou foram eliminadas, como no caso do México e 
do Peru, ou eram frágeis, como no caso do Brasil —, são o 
resultado,  em  geral,  da  evolução  do  transplante  de 
instituições  europeias  feito  pelas  metrópoles  para  suas 
colônias.  Na  África,  as  colônias tiveram fronteiras 
arbitrariamente  traçadas,  separando  etnias,  idiomas  e 
tradições,  que,  mais  tarde,  sobreviveram  ao  processo  de 
descolonização,  dando  razão  para  conflitos  que,  muitas 
vezes,  têm  sua  verdadeira  origem  em  disputas  pela 
exploração  de  recursos  naturais.  Na  Ásia,  a  colonização 
europeia  se  fez  de  forma  mais  indireta  e  encontrou 
sistemas políticos e administrativos mais sofisticados, aos 
quais  se  superpôs.  Hoje,  aquelas  formas  anteriores  de 
organização, ou pelo menos seu espírito, sobrevivem nas 
organizações políticas do Estado asiático. 

GUIMARÃES, S. P. Nação, nacionalismo, Estado. Estudos Avançados. São Paulo: EdUSP, 
v. 22, n.º 62, jan.- abr. 2008 (adaptado). 
","
Relacionando  as  informações  ao  contexto  histórico  e geográfico  por  elas  evocado,  assinale  a  opção  correta acerca  do  processo  de  formação  socioeconômica  dos continentes mencionados no texto. 
",
"No tempo da independência do Brasil, circulavam 
nas classes populares do Recife trovas que faziam alusão 
à revolta escrava do Haiti: 

Marinheiros e caiados 
Todos devem se acabar, 
Porque só pardos e pretos 

O país hão de habitar. 

AMARAL, F. P. do. Apud CARVALHO, A. Estudos pernambucanos.  
Recife: Cultura Acadêmica, 1907. 
","
O  período  da  independência  do  Brasil  registra  conflitos 
raciais, como se depreende 
",
" 
Colhe o Brasil, após esforço contínuo dilatado no 
tempo,  o  que  plantou  no  esforço  da  construção  de  sua 
inserção  internacional.  Há  dois  séculos  formularam-se  os 
pilares  da  política  externa.  Teve  o  país  inteligência  de 
longo prazo e cálculo de oportunidade no mundo difuso da 
transição da hegemonia britânica para o século americano. 
Engendrou  concepções,  conceitos  e  teoria  própria  no 
século XIX, de José Bonifácio ao Visconde do Rio Branco. 
Buscou  autonomia  decisória  no  século  XX.  As  elites  se 
interessaram, por meio de calorosos debates, pelo destino 
do Brasil. O país emergiu, de Vargas aos militares, como 
ator  responsável  e  previsível  nas  ações  externas  do 
Estado. A mudança de regime político para a democracia 
não alterou o pragmatismo externo, mas o aperfeiçoou. 
SARAIVA, J. F. S. O lugar do Brasil e o silêncio do parlamento. Correio Braziliense, Brasília, 
28 maio 2009 (adaptado). 
","
Sob  o  ponto  de  vista  da  política  externa  brasileira  no 
século XX, conclui-se que
",
" 
A  prosperidade  induzida  pela  emergência  das 
máquinas  de  tear  escondia  uma  acentuada  perda  de 
prestígio. Foi nessa idade de ouro que os artesãos, ou os 
tecelões  temporários,  passaram  a  ser  denominados,  de 
modo  genérico,  tecelões  de  teares  manuais.  Exceto  em 
alguns  ramos  especializados,  os  velhos  artesãos  foram 
colocados  lado  a  lado  com  novos  imigrantes,  enquanto 
pequenos fazendeiros-tecelões abandonaram suas 
pequenas propriedades para se concentrar na atividade de 
tecer.  Reduzidos  à  completa  dependência  dos  teares 
mecanizados  ou  dos  fornecedores  de  matéria-prima,  os 
tecelões  ficaram  expostos  a  sucessivas  reduções  dos 
rendimentos. 


THOMPSON, E. P. The making of the english working class. Harmondsworth: Penguin 
Books, 1979 (adaptado). 
","
Com a mudança tecnológica ocorrida durante a Revolução Industrial, a forma de trabalhar alterou-se porque 
",
" 
Até  o  século  XVII,  as  paisagens  rurais  eram marcadas  por  atividades rudimentares  e  de  baixa produtividade.  A  partir  da  Revolução  Industrial,  porém, sobretudo com o advento da revolução tecnológica, houve um desenvolvimento contínuo do setor agropecuário. 
"," 
São,  portanto,  observadas  consequências  econômicas, sociais  e  ambientais inter-relacionadas  no  período posterior à Revolução Industrial, as quais incluem 
",
"Como  se  assistisse  à  demonstração  de  um espetáculo  mágico, ia  revendo  aquele  ambiente tão característico  de  família,  com  seus  pesados  móveis  de vinhático  ou  de  jacarandá,  de  qualidade  antiga,  e  que denunciavam  um  passado  ilustre,  gerações  de  Meneses talvez mais singelos e mais calmos; agora, uma espécie de desordem, de relaxamento, abastardava aquelas qualidades  primaciais. Mesmo  assim  era  fácil  perceber  o que haviam sido, esses nobres da roça, com seus cristais que brilhavam mansamente na sombra, suas pratas semi-
empoeiradas que atestavam o esplendor esvanecido, seus 
marfins e suas opalinas – ah, respirava-se ali conforto, não 
havia  dúvida,  mas  era  apenas  uma  sobrevivência  de 
coisas idas.  Dir-se-ia,  ante  esse  mundo  que  se ia 
desagregando, que um mal oculto o roía, como um tumor 
latente em suas entranhas. 

CARDOSO, L. Crônica da casa assassinada. Rio de Janeiro:  
Civilização Brasileira, 2002 (adaptado). 
","
O  mundo  narrado  nesse  trecho  do  romance  de  Lúcio Cardoso,  acerca  da  vida  dos  Meneses, família  da aristocracia rural de Minas Gerais, apresenta não apenas a história  da  decadência  dessa  família,  mas  é,  ainda,  a representação  literária  de  uma  fase  de  desagregação 
política, social e econômica do país. O recurso expressivo 
que formula literariamente essa desagregação histórica é o 
de descrever a casa dos Meneses como 
",
"O suíço Thomas Davatz chegou a São Paulo em 
1855  para  trabalhar  como  colono  na  fazenda  de  café 
Ibicaba, em Campinas. A perspectiva de prosperidade que 
o atraiu para o Brasil deu lugar a insatisfação e revolta, que 
ele  registrou  em  livro.  Sobre  o  percurso  entre  o  porto  de 
Santos  e  o  planalto  paulista,  escreveu  Davatz:  “As 
estradas do Brasil, salvo em alguns trechos, são péssimas. 
Em  quase toda  parte, falta  qualquer  espécie  de 
calçamento ou mesmo de saibro. Constam apenas de terra 
simples, sem nenhum benefício. É fácil prever que nessas 
estradas  não  se  encontram  estalagens  e  hospedarias 
como as da Europa. Nas cidades maiores, o viajante pode 
naturalmente  encontrar  aposento  sofrível;  nunca,  porém, 
qualquer  coisa  de  comparável  à  comodidade  que 
proporciona  na  Europa  qualquer  estalagem  rural.  Tais cidades são, porém, muito poucas na distância que vai de Santos a Ibicaba e que se percorre em cinquenta horas no mínimo”. 
 
Em 1867 foi inaugurada a ferrovia ligando Santos 
a Jundiaí, o que abreviou o tempo de viagem entre o litoral 
e  o  planalto  para  menos  de  um  dia.  Nos  anos  seguintes, 
foram  construídos  outros ramais ferroviários  que articularam  o  interior  cafeeiro  ao  porto  de  exportação, Santos. 

DAVATZ, T. Memórias de um colono no Brasil. São Paulo:  
Livraria Martins, 1941 (adaptado). 
","
O  impacto  das  ferrovias  na  promoção  de  projetos  de 
colonização  com  base  em imigrantes  europeus foi importante, porque 
",
"Além  dos inúmeros  eletrodomésticos  e  bens eletrônicos,  o  automóvel  produzido  pela  indústria  fordista promoveu, a partir dos anos 50, mudanças significativas no modo de vida dos consumidores e também na habitação e nas  cidades.  Com  a  massificação  do  consumo  dos  bens 
modernos,  dos  eletroeletrônicos  e  também  do  automóvel, mudaram  radicalmente  o  modo  de  vida,  os  valores,  a cultura e o conjunto do ambiente construído. Da ocupação do solo urbano até o interior da moradia, a transformação foi profunda. 

MARICATO, E. Urbanismo na periferia do mundo globalizado: metrópoles brasileiras. Disponível em: http://www.scielo.br.  Acesso em: 12 ago. 2009 (adaptado). 

","
Uma  das  consequências  das  inovações  tecnológicas  das últimas  décadas,  que  determinaram  diferentes  formas  de uso e ocupação do espaço geográfico, é a instituição das chamadas cidades globais, que se caracterizam por 
",
